# frequency, power_density
1.389530523569114564e+02 4.864533664656591583e+01
1.391894055249868245e+02 4.690481564945575599e+01
1.394257586930621358e+02 2.883558560519796288e+01
1.396621118611374754e+02 1.642963258733468601e+00
1.398984650292127867e+02 3.071089844088279008e+00
1.401348181972881264e+02 3.037990162588560494e+01
1.403711713653634376e+02 1.353424890565856629e+02
1.406075245334387773e+02 1.271838284234776353e+02
1.408438777015140886e+02 5.814374647130800611e+01
1.410802308695894567e+02 7.176105539868731853e+01
1.413165840376647679e+02 7.943144188015467932e+01
1.415529372057401076e+02 9.577979765078604713e-01
1.417892903738154189e+02 1.795086276582189555e+02
1.420256435418907586e+02 4.624645104869131842e+02
1.422619967099660698e+02 2.723263522845710440e+02
1.424983498780414095e+02 1.509917487036023687e+01
1.427347030461167208e+02 2.325446555380407432e+01
1.429710562141920889e+02 2.327973254327731567e+01
1.432074093822674001e+02 5.150971345071113205e+00
1.434437625503427398e+02 4.053853446538864347e+01
1.436801157184180511e+02 9.035576944233380914e+01
1.439164688864933908e+02 2.586432115826241684e+01
1.441528220545687020e+02 1.048420771923519510e+02
1.443891752226440417e+02 6.239132810346783486e+01
1.446255283907193814e+02 2.418785673860802632e+01
1.448618815587947211e+02 1.882817957103582529e+01
1.450982347268700607e+02 1.085333372760133273e+02
1.453345878949453720e+02 2.310107563045809442e+01
1.455709410630207117e+02 7.398946864805385815e+01
1.458072942310960229e+02 4.748857703017755938e+01
1.460436473991713626e+02 8.997760945025325086e+00
1.462800005672466739e+02 1.272129834897276979e+01
1.465163537353220136e+02 1.987011727932263483e+01
1.467527069033973248e+02 2.405738035235040329e+01
1.469890600714726929e+02 1.483376465361461349e+01
1.472254132395480042e+02 3.462974471866383652e+01
1.474617664076233439e+02 3.793847460377363312e+00
1.476981195756986551e+02 8.570625784822514248e-01
1.479344727437739948e+02 1.172298032069772589e+01
1.481708259118493061e+02 1.173760008178175163e+01
1.484071790799246457e+02 7.122558291246745910e+01
1.486435322479999570e+02 3.845691081035672454e+01
1.488798854160752967e+02 6.799756092263133667e+01
1.491162385841506364e+02 1.704597046194299423e+02
1.493525917522259761e+02 2.952491950852838087e+01
1.495889449203012873e+02 4.510412689783357365e+01
1.498252980883766270e+02 4.440419763249487772e+01
1.500616512564519383e+02 1.902367297086064557e+00
1.502980044245272779e+02 5.095483474476719010e+00
1.505343575926025892e+02 3.673251888550839794e+01
1.507707107606779573e+02 8.083965962253898851e+01
1.510070639287532686e+02 1.586256493187329575e+01
1.512434170968286082e+02 3.928711016216392693e+01
1.514797702649039479e+02 1.012135016899577806e+02
1.517161234329792592e+02 3.672230846203920862e+01
1.519524766010545989e+02 3.186290834184407839e+00
1.521888297691299101e+02 1.220608853680925066e+01
1.524251829372052498e+02 8.813298060115813826e+01
1.526615361052805611e+02 4.770158190942326115e+01
1.528978892733559292e+02 1.801188072187513001e+01
1.531342424414312404e+02 1.340211309377525311e+02
1.533705956095065801e+02 1.376392089168620032e+02
1.536069487775818914e+02 2.282710616981436402e+01
1.538433019456572310e+02 4.573429891611054643e+01
1.540796551137325423e+02 4.162635696826521325e+01
1.543160082818078820e+02 5.991855391980394785e+01
1.545523614498832217e+02 1.822838430297695922e+01
1.547887146179585613e+02 3.088895332961880058e+02
1.550250677860338726e+02 3.807483891567324008e+02
1.552614209541092123e+02 5.196761143404100380e+01
1.554977741221845235e+02 2.201713847852622763e+01
1.557341272902598632e+02 2.252130820419818491e+01
1.559704804583351745e+02 3.454438556854709930e+01
1.562068336264105142e+02 2.618548273170260288e+01
1.564431867944858254e+02 3.269673871916475072e+00
1.566795399625611935e+02 2.794127873880020019e+01
1.569158931306365048e+02 2.285094367198414744e+01
1.571522462987118445e+02 1.878130089989582530e+01
1.573885994667871557e+02 7.227111799534712056e+00
1.576249526348624954e+02 4.203300532282429458e+01
1.578613058029378351e+02 2.465891353345081782e+01
1.580976589710131464e+02 7.429709405487707841e+01
1.583340121390885145e+02 1.246944399751820072e+02
1.585703653071638257e+02 4.307962022750552222e+01
1.588067184752391654e+02 3.652831095747971801e+01
1.590430716433144767e+02 5.048246900684371496e+01
1.592794248113898163e+02 5.849028213870560045e+00
1.595157779794651276e+02 1.355977829964893111e+01
1.597521311475404673e+02 1.956011503502111282e+01
1.599884843156157785e+02 1.019297801346128551e+01
