# frequency, psd_without_bg
1.462800005672466739e+02 3.465179628765383546e-01
1.465163537353220136e+02 5.421201671993297611e-01
1.467527069033973248e+02 6.574258342559842205e-01
1.469890600714726929e+02 4.060276374491473272e-01
1.472254132395480042e+02 9.494274089787834159e-01
1.474617664076233439e+02 1.041844944449550753e-01
1.476981195756986551e+02 2.357485288541566124e-02
1.479344727437739948e+02 3.229908477955646395e-01
1.481708259118493061e+02 3.239289027714699620e-01
1.484071790799246457e+02 1.968915621740638722e+00
1.486435322479999570e+02 1.064850598326322784e+00
1.488798854160752967e+02 1.885963581597653427e+00
1.491162385841506364e+02 4.735762062038373799e+00
1.493525917522259761e+02 8.216512733429032211e-01
1.495889449203012873e+02 1.257327027960768673e+00
1.498252980883766270e+02 1.239914251448297255e+00
1.500616512564519383e+02 5.321084349887306164e-02
1.502980044245272779e+02 1.427683070024594048e-01
1.505343575926025892e+02 1.030956297566475000e+00
1.507707107606779573e+02 2.272791766406005998e+00
1.510070639287532686e+02 4.467419156276342673e-01
1.512434170968286082e+02 1.108368012837357863e+00
1.514797702649039479e+02 2.860391311641210521e+00
1.517161234329792592e+02 1.039615066726566228e+00
1.519524766010545989e+02 9.036205206396180634e-02
1.521888297691299101e+02 3.467669946484980836e-01
1.524251829372052498e+02 2.508203396614776981e+00
1.526615361052805611e+02 1.359948980473809632e+00
1.528978892733559292e+02 5.144189054324764809e-01
1.531342424414312404e+02 3.834437329652408355e+00
1.533705956095065801e+02 3.944968330417555347e+00
1.536069487775818914e+02 6.554320566280902316e-01
1.538433019456572310e+02 1.315517982832418831e+00
1.540796551137325423e+02 1.199509206544140616e+00
1.543160082818078820e+02 1.729734293301249171e+00
1.545523614498832217e+02 5.271711188013272764e-01
1.547887146179585613e+02 8.949411021708595371e+00
1.550250677860338726e+02 1.105145934875515579e+01
1.552614209541092123e+02 1.511148235110800764e+00
1.554977741221845235e+02 6.414021365207535075e-01
1.557341272902598632e+02 6.572957359215816364e-01
1.559704804583351745e+02 1.010054480811247046e+00
1.562068336264105142e+02 7.670620352017861743e-01
1.564431867944858254e+02 9.595759715915376520e-02
1.566795399625611935e+02 8.215399226047797043e-01
1.569158931306365048e+02 6.731261183510218737e-01
1.571522462987118445e+02 5.542814150442691989e-01
1.573885994667871557e+02 2.136899984833785515e-01
1.576249526348624954e+02 1.245165476812519989e+00
1.578613058029378351e+02 7.318636816493993003e-01
1.580976589710131464e+02 2.209276824144640994e+00
1.583340121390885145e+02 3.714923415817655616e+00
1.585703653071638257e+02 1.285883196530583472e+00
1.588067184752391654e+02 1.092417208636522030e+00
1.590430716433144767e+02 1.512624806982215020e+00
1.592794248113898163e+02 1.755934999342080027e-01
1.595157779794651276e+02 4.078625115524651679e-01
1.597521311475404673e+02 5.894832573649029239e-01
